,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
0,1543383673768386560,Lagas ang 1400 sa vape 😵‍💫,Ceddqt,2022-07-02 23:58:37+00:00,,,
1,1543383516020219905,She a 10 but she got a vape pen in her hand.,NesseBoyy,2022-07-02 23:57:59+00:00,,,
2,1543383095872630784,i need an airtag for my vape i fear..,trashbrainbaby,2022-07-02 23:56:19+00:00,,,
3,1543383039467786241,why in every bts photo of the cali crew charlie got a vape in his hand 😭,filmchrisluvr,2022-07-02 23:56:05+00:00,,,
4,1543382935599923201,This is my car whenever someone come in I gotta grab all my vapes off the passenger seat,DaddyDumbBitch,2022-07-02 23:55:41+00:00,,,
5,1543382773670547456,Again proof that Hubbly &gt; Vape,Bis_Kuits,2022-07-02 23:55:02+00:00,,,
6,1543382702333706240,"Ugh, I'm turning into vape juice, NOO-!",mephileshourly,2022-07-02 23:54:45+00:00,,,
7,1543382427665477632,"My mama called her vape juice “vape sauce” and I can’t unheard it 😂 
Probably gunna steal that one 💀",TeaAirUhh,2022-07-02 23:53:40+00:00,,,
8,1543382373831680002,this is what the inside of a juul looks like  https://t.co/wTL0i6ztfZ,CoolDotCom__,2022-07-02 23:53:27+00:00,,,
9,1543381691204415488,should just buy my own vape so i can stop asking my friends if i can hit theirs when we go out lmaoo,boonanza09,2022-07-02 23:50:44+00:00,,,
10,1543381017901219840,The only downside to adopting Frisk is that I can no longer vape inside the house (snail flavor),ToriGoatBot,2022-07-02 23:48:03+00:00,,,
11,1543380594687713280,so the people who would get our vapes decided she’s not comfortable getting vapes for people who she doesn’t really know which is understandable but like damn i want my nic now i don’t know where to get any,cxsmixcalz,2022-07-02 23:46:23+00:00,,,
12,1543380591705554947,the smell of vapes make me feel sick,crimeboiz,2022-07-02 23:46:22+00:00,,,
13,1543380252977676288,someone left their vape in the toilets https://t.co/qLGeOQzo3f,lTSUKlS,2022-07-02 23:45:01+00:00,,,
14,1543379962153107456,I was allowed to bring my vape here………………. But I didn’t……….,Mamalehyoshi,2022-07-02 23:43:52+00:00,,,
15,1543379732812939265,"one by one people around me are picking up vaping,, HONESTLY I’m scared for y’all’s lungs but you do you :”",zxfyyy_,2022-07-02 23:42:57+00:00,,,
16,1543379694682312705,"It is slander at this point with all this nonsense on #vaping causing cancer and deaths!!! The science says otherwise!! My own body says otherwise!!! AVALI was black market THC carts NOT Nicotine! Cigarettes have 7k carcinogenic chemicals, NOT #vaping!!!",DavidVestal9,2022-07-02 23:42:48+00:00,,,
17,1543379624486379520,When she doesn’t vape &gt;&gt;&gt;&gt;&gt; 🫶🏽🫶🏽🫶🏽🫶🏽🫶🏽🤌🏽🤌🏽🤌🏽🤌🏽🥵🥰,breezybrent2,2022-07-02 23:42:31+00:00,,,
